coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow,lat,lon,temp,temp_min,temp_max,cloudiness,wind_speed,wind_direction,humidity
"{'lon': 168.86, 'lat': -46.19}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 289.26, 'feels_like': 283.9, 'temp_min': 289.26, 'temp_max': 289.26, 'pressure': 1023, 'humidity': 76}",,"{'speed': 8.49, 'deg': 226, 'gust': 13.41}",{'all': 75},1582430503.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1582395002, 'sunset': 1582443986}",46800.0,6201424.0,Mataura,200,,,,-46.19,168.86,289.26,289.26,289.26,75.0,8.49,226.0,76.0
"{'lon': 102.5, 'lat': 71.97}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 261.61, 'feels_like': 253.21, 'temp_min': 261.61, 'temp_max': 261.61, 'pressure': 1001, 'humidity': 78, 'sea_level': 1001, 'grnd_level': 997}",,"{'speed': 7.21, 'deg': 203}",{'all': 100},1582430506.0,"{'country': 'RU', 'sunrise': 1582421040, 'sunset': 1582449799}",25200.0,2022572.0,Khatanga,200,,,,71.97,102.5,261.61,261.61,261.61,100.0,7.21,203.0,78.0
"{'lon': -68.51, 'lat': 63.75}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 238.15, 'feels_like': 231.34, 'temp_min': 238.15, 'temp_max': 238.15, 'pressure': 1005, 'humidity': 59}",24140.0,"{'speed': 4.1, 'deg': 310}",{'all': 5},1582430557.0,"{'type': 1, 'id': 797, 'country': 'CA', 'sunrise': 1582373177, 'sunset': 1582406954}",-18000.0,5983720.0,Iqaluit,200,,,,63.75,-68.51,238.15,238.15,238.15,5.0,4.1,310.0,59.0
"{'lon': -173.3, 'lat': 64.38}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 250.25, 'feels_like': 245.76, 'temp_min': 250.25, 'temp_max': 250.25, 'pressure': 1013, 'humidity': 82, 'sea_level': 1013, 'grnd_level': 970}",,"{'speed': 1.08, 'deg': 212}",{'all': 0},1582430520.0,"{'country': 'RU', 'sunrise': 1582484601, 'sunset': 1582518610}",43200.0,4031574.0,Provideniya,200,,,,64.38,-173.3,250.25,250.25,250.25,0.0,1.08,212.0,82.0
"{'lon': -97.86, 'lat': 55.74}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 266.15, 'feels_like': 261.13, 'temp_min': 266.15, 'temp_max': 266.15, 'pressure': 1001, 'humidity': 67}",24140.0,"{'speed': 2.6, 'deg': 70}",{'all': 75},1582430422.0,"{'type': 1, 'id': 935, 'country': 'CA', 'sunrise': 1582378848, 'sunset': 1582415371}",-21600.0,6165406.0,Thompson,200,,,,55.74,-97.86,266.15,266.15,266.15,75.0,2.6,70.0,67.0
,,,,,,,,,,,,404,,city not found,,,,,,,,,,
"{'lon': -57.56, 'lat': -38}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 286.69, 'feels_like': 286.74, 'temp_min': 283.15, 'temp_max': 288.71, 'pressure': 1021, 'humidity': 93}",7000.0,"{'speed': 1, 'deg': 320}",{'all': 0},1582430556.0,"{'type': 1, 'id': 8305, 'country': 'AR', 'sunrise': 1582450077, 'sunset': 1582497584}",-10800.0,3430863.0,Mar del Plata,200,,,,-38.0,-57.56,286.69,283.15,288.71,0.0,1.0,320.0,93.0
"{'lon': -42.03, 'lat': -22.97}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 296.54, 'feels_like': 295.52, 'temp_min': 296.54, 'temp_max': 296.54, 'pressure': 1017, 'humidity': 81, 'sea_level': 1017, 'grnd_level': 1016}",,"{'speed': 6.69, 'deg': 177}",{'all': 100},1582430521.0,"{'country': 'BR', 'sunrise': 1582447256, 'sunset': 1582492951}",-10800.0,3471451.0,Arraial do Cabo,200,{'3h': 1.06},,,-22.97,-42.03,296.54,296.54,296.54,100.0,6.69,177.0,81.0
,,,,,,,,,,,,404,,city not found,,,,,,,,,,
"{'lon': 34.38, 'lat': -8.7}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 291.95, 'feels_like': 294.17, 'temp_min': 291.95, 'temp_max': 291.95, 'pressure': 1012, 'humidity': 95, 'sea_level': 1012, 'grnd_level': 894}",,"{'speed': 0.81, 'deg': 168}",{'all': 100},1582430671.0,"{'country': 'TZ', 'sunrise': 1582429589, 'sunset': 1582473945}",10800.0,150453.0,Rujewa,200,{'3h': 0.44},,,-8.7,34.38,291.95,291.95,291.95,100.0,0.81,168.0,95.0
